reading_id,sensor_id,date_id,temperature,humidity,anomaly_flag,data_quality_score,ingestion_time
15001,1,20251001,24.62,31.81,Normal,100,2025-10-27 04:30:00.557
15002,2,20251001,33.25,48.0,Normal,100,2025-10-27 04:30:00.557
15003,4,20251001,23.66,34.7,Normal,100,2025-10-27 04:30:00.557
15004,5,20251001,21.55,46.25,Normal,100,2025-10-27 04:30:00.557
15005,2,20251001,30.5,34.51,Normal,100,2025-10-27 04:30:00.557
15006,3,20251001,21.63,40.63,Normal,100,2025-10-27 04:30:00.557
15007,5,20251001,23.05,49.18,Normal,100,2025-10-27 04:30:00.557
15008,3,20251001,31.96,53.22,Normal,100,2025-10-27 04:30:00.557
15009,1,20251001,27.67,46.69,Normal,100,2025-10-27 04:30:00.557
15010,4,20251001,25.42,38.29,Normal,100,2025-10-27 04:30:00.557
15011,5,20251001,33.57,36.48,Normal,100,2025-10-27 04:30:00.557
15012,3,20251001,25.24,54.46,Normal,100,2025-10-27 04:30:00.557
15013,1,20251001,33.93,31.49,Normal,100,2025-10-27 04:30:00.557
15014,4,20251001,25.64,59.06,Normal,100,2025-10-27 04:30:00.557
15015,5,20251001,23.3,36.16,Normal,100,2025-10-27 04:30:00.557
15016,5,20251001,25.83,32.85,Normal,100,2025-10-27 04:30:00.557
15017,1,20251001,25.12,35.48,Normal,100,2025-10-27 04:30:00.557
15018,2,20251001,22.58,49.01,Normal,100,2025-10-27 04:30:00.557
15019,1,20251001,30.9,34.79,Normal,100,2025-10-27 04:30:00.557
15020,4,20251001,21.88,55.19,Normal,100,2025-10-27 04:30:00.557
15021,2,20251001,21.93,44.11,Normal,100,2025-10-27 04:30:00.557
15022,3,20251001,27.76,59.03,Normal,100,2025-10-27 04:30:00.557
15023,3,20251001,33.13,52.78,Normal,100,2025-10-27 04:30:00.557
15024,3,20251001,33.04,58.59,Normal,100,2025-10-27 04:30:00.557
15025,1,20251001,27.02,36.23,Normal,100,2025-10-27 04:30:00.557
15026,4,20251001,24.96,31.0,Normal,100,2025-10-27 04:30:00.557
15027,1,20251001,22.1,48.99,Normal,100,2025-10-27 04:30:00.557
15028,1,20251001,27.41,32.98,Normal,100,2025-10-27 04:30:00.557
15029,4,20251001,29.58,44.98,Normal,100,2025-10-27 04:30:00.557
15030,5,20251001,22.86,35.05,Normal,100,2025-10-27 04:30:00.557
15031,4,20251001,30.69,52.82,Normal,100,2025-10-27 04:30:00.557
15032,4,20251001,27.47,37.29,Normal,100,2025-10-27 04:30:00.557
15033,3,20251001,27.84,46.58,Normal,100,2025-10-27 04:30:00.557
15034,2,20251001,23.09,35.75,Normal,100,2025-10-27 04:30:00.557
