sensor_id,temperature,humidity,timestamp
1,24.62,31.81,2025-10-01 21:08:13
2,33.25,48.0,2025-10-01 21:08:18
4,23.66,34.7,2025-10-01 21:08:23
5,21.55,46.25,2025-10-01 21:08:28
2,30.5,34.51,2025-10-01 21:08:33
3,21.63,40.63,2025-10-01 21:08:38
5,23.05,49.18,2025-10-01 21:08:43
3,31.96,53.22,2025-10-01 21:08:48
1,27.67,46.69,2025-10-01 21:08:53
4,25.42,38.29,2025-10-01 21:08:58
5,33.57,36.48,2025-10-01 21:09:03
3,25.24,54.46,2025-10-01 21:09:08
1,33.93,31.49,2025-10-01 21:09:13
4,25.64,59.06,2025-10-01 21:09:18
5,23.3,36.16,2025-10-01 21:09:23
5,25.83,32.85,2025-10-01 21:09:28
1,25.12,35.48,2025-10-01 21:09:33
2,22.58,49.01,2025-10-01 21:09:38
1,30.9,34.79,2025-10-01 21:09:43
4,21.88,55.19,2025-10-01 21:09:48
2,21.93,44.11,2025-10-01 21:09:53
3,27.76,59.03,2025-10-01 21:09:58
3,33.13,52.78,2025-10-01 21:10:31
3,33.04,58.59,2025-10-01 21:10:36
1,27.02,36.23,2025-10-01 21:10:41
4,24.96,31.0,2025-10-01 21:10:46
1,22.1,48.99,2025-10-01 21:10:51
1,27.41,32.98,2025-10-01 21:10:56
4,29.58,44.98,2025-10-01 21:11:01
5,22.86,35.05,2025-10-01 21:11:06
4,30.69,52.82,2025-10-01 21:11:11
4,27.47,37.29,2025-10-01 21:11:16
3,27.84,46.58,2025-10-01 21:11:21
2,23.09,35.75,2025-10-01 21:11:26
1,33.64,50.07,2025-10-01 21:11:31
1,29.01,42.72,2025-10-01 21:11:36
2,24.65,53.78,2025-10-01 21:11:41
4,24.51,45.19,2025-10-01 21:11:46
5,32.16,32.82,2025-10-01 21:11:51
2,34.45,53.34,2025-10-01 21:11:56
1,29.15,33.17,2025-10-01 21:12:01
3,26.91,30.33,2025-10-01 21:12:06
1,27.19,33.6,2025-10-01 21:12:11
1,30.14,57.97,2025-10-01 21:12:16
5,20.8,43.79,2025-10-01 21:12:21
5,29.47,31.69,2025-10-01 21:12:26
2,28.37,54.43,2025-10-01 21:12:31
1,25.85,47.71,2025-10-01 21:12:36
3,27.44,36.56,2025-10-01 21:12:41
4,22.04,34.37,2025-10-01 21:12:46
2,25.21,59.81,2025-10-01 21:12:51
5,20.6,55.28,2025-10-01 21:12:56
1,28.37,38.82,2025-10-01 21:13:01
3,28.58,30.05,2025-10-01 21:13:06
5,31.78,37.37,2025-10-01 21:13:11
3,31.27,49.42,2025-10-01 21:13:16
3,21.96,58.31,2025-10-01 21:13:21
2,24.33,56.95,2025-10-01 21:13:26
1,27.87,32.32,2025-10-01 21:13:31
3,20.99,58.12,2025-10-01 21:13:36
3,28.72,40.08,2025-10-01 21:13:41
2,25.75,40.43,2025-10-01 21:13:46
5,20.45,48.22,2025-10-01 21:13:51
5,25.76,34.93,2025-10-01 21:13:56
2,34.23,43.65,2025-10-01 21:14:01
2,20.24,31.28,2025-10-01 21:14:06
5,32.25,48.51,2025-10-01 21:14:11
3,27.93,35.36,2025-10-01 21:14:16
4,32.18,55.13,2025-10-01 21:14:21
4,24.81,30.72,2025-10-01 21:14:26
1,23.51,59.21,2025-10-01 21:14:31
3,32.52,40.22,2025-10-01 21:14:36
1,20.51,39.71,2025-10-01 21:14:41
4,20.64,49.31,2025-10-01 21:14:46
2,28.06,35.78,2025-10-01 21:14:51
4,20.14,51.91,2025-10-01 21:14:56
4,24.06,40.79,2025-10-01 21:15:01
1,33.83,44.63,2025-10-01 21:15:06
1,23.36,30.8,2025-10-01 21:15:11
1,29.96,31.7,2025-10-01 21:15:16
1,33.68,34.08,2025-10-01 21:15:21
3,27.77,55.51,2025-10-01 21:15:26
2,34.84,46.67,2025-10-01 21:15:31
5,25.11,49.75,2025-10-01 21:15:36
5,20.69,39.0,2025-10-01 21:15:41
3,26.74,40.59,2025-10-01 21:15:46
3,27.03,53.33,2025-10-01 21:15:51
3,33.26,46.12,2025-10-01 21:15:56
2,29.99,52.86,2025-10-01 21:16:01
2,31.85,36.33,2025-10-01 21:16:06
2,33.97,49.09,2025-10-01 21:16:11
2,28.81,58.41,2025-10-01 21:16:16
4,33.63,54.1,2025-10-01 21:16:21
3,26.94,55.24,2025-10-01 21:16:26
4,31.49,44.97,2025-10-01 21:16:31
2,31.57,51.0,2025-10-01 21:16:36
1,32.15,44.86,2025-10-01 21:16:41
5,33.43,38.06,2025-10-01 21:16:46
4,28.36,44.19,2025-10-01 21:16:51
4,28.42,40.55,2025-10-01 21:16:56
4,22.76,33.62,2025-10-01 21:17:01
5,24.31,37.3,2025-10-01 21:17:06
3,31.48,54.82,2025-10-01 21:17:11
3,25.99,34.01,2025-10-01 21:17:16
1,31.94,54.51,2025-10-01 21:17:21
3,20.7,38.27,2025-10-01 21:17:26
2,27.2,57.78,2025-10-01 21:17:31
3,26.44,38.81,2025-10-01 21:17:36
2,21.04,33.36,2025-10-01 21:17:41
3,20.96,37.3,2025-10-01 21:17:46
1,27.39,40.68,2025-10-01 21:17:51
3,30.05,40.32,2025-10-01 21:17:56
1,29.08,44.79,2025-10-01 21:18:01
5,21.62,53.18,2025-10-01 21:18:06
5,34.0,58.59,2025-10-01 21:18:11
5,33.38,30.03,2025-10-01 21:18:16
1,22.78,44.51,2025-10-01 21:18:21
5,26.26,36.84,2025-10-01 21:18:26
